epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3386,1.50816,3.18433,1.36925,0.94337,0.04966,0.31293,0.12186,1.04561,3.36045,1.20382,0.000545377,0.000545377,0.000545377
2,36.6555,1.16458,1.72331,1.17152,0.7812,0.92505,0.96058,0.63736,1.10977,1.72112,1.17724,0.00107924,0.00107924,0.00107924
3,53.6322,1.18733,1.53765,1.19274,0.97026,0.71388,0.84155,0.55826,1.27252,1.98695,1.32156,0.0015911,0.0015911,0.0015911
4,70.6538,1.129,1.35697,1.17619,0.99337,0.99768,0.995,0.73273,1.01279,1.18229,1.15391,0.00156798,0.00156798,0.00156798
5,87.6895,1.10604,1.25022,1.17466,0.98836,0.99265,0.99466,0.73377,0.88492,0.94567,1.11017,0.00153497,0.00153497,0.00153497
6,104.858,1.11004,1.17705,1.20022,0.99226,0.91903,0.982,0.68537,1.11724,0.91429,1.16368,0.00150197,0.00150197,0.00150197
7,122.09,1.01969,1.00545,1.14531,0.97706,0.87803,0.94065,0.70205,0.81982,0.91864,1.0738,0.00146896,0.00146896,0.00146896
8,139.402,0.98195,0.88163,1.12063,0.99292,0.92954,0.98389,0.75306,0.83233,0.64075,1.08069,0.00143595,0.00143595,0.00143595
9,156.779,0.96203,0.82649,1.10535,0.99749,1,0.995,0.76108,0.85148,0.50683,1.07165,0.00140295,0.00140295,0.00140295
10,174.157,0.98314,0.79397,1.09355,0.99847,1,0.995,0.76222,0.88881,0.53509,1.05703,0.00136994,0.00136994,0.00136994
11,191.309,0.95066,0.75709,1.11407,0.99959,0.9949,0.995,0.73421,0.9673,0.52488,1.07395,0.00133693,0.00133693,0.00133693
12,208.18,0.9168,0.71975,1.07451,0.99908,1,0.995,0.77987,0.78857,0.45768,1.02728,0.00130393,0.00130393,0.00130393
13,224.986,0.89799,0.68012,1.08293,0.99887,1,0.995,0.76852,0.82781,0.45333,1.02163,0.00127092,0.00127092,0.00127092
14,241.829,0.92514,0.66521,1.08694,0.99819,0.99943,0.995,0.79304,0.71219,0.46021,0.9985,0.00123791,0.00123791,0.00123791
15,259.03,1.01026,0.68645,1.13159,0.99759,1,0.995,0.71081,1.06527,0.53612,1.1338,0.00120491,0.00120491,0.00120491
16,276.107,0.90134,0.60327,1.04211,0.99874,1,0.995,0.80602,0.75909,0.42402,1.00406,0.0011719,0.0011719,0.0011719
17,293.159,0.86825,0.60247,1.07758,0.99854,1,0.995,0.82932,0.71002,0.38055,0.98161,0.00113889,0.00113889,0.00113889
18,310.639,0.89936,0.60436,1.07619,0.99676,1,0.995,0.80602,0.72218,0.42577,1.00464,0.00110589,0.00110589,0.00110589
19,327.351,0.85133,0.56839,1.063,0.9991,1,0.995,0.82778,0.68271,0.41103,0.97388,0.00107288,0.00107288,0.00107288
20,344.225,0.84657,0.56311,1.05374,0.99816,1,0.995,0.83499,0.65905,0.38643,0.97429,0.00103987,0.00103987,0.00103987
21,361.14,0.86544,0.54882,1.05327,0.99833,1,0.995,0.81947,0.69758,0.40799,0.97832,0.00100687,0.00100687,0.00100687
22,377.908,0.89966,0.55502,1.06342,0.99847,1,0.995,0.7858,0.83644,0.44553,1.02581,0.000973861,0.000973861,0.000973861
23,394.692,0.84247,0.52526,1.04671,0.99876,1,0.995,0.79736,0.75953,0.3979,0.98315,0.000940855,0.000940855,0.000940855
24,411.522,0.82097,0.53646,1.03459,0.99886,1,0.995,0.80268,0.76772,0.38674,0.99147,0.000907848,0.000907848,0.000907848
25,428.362,0.80401,0.51621,1.02878,0.99914,1,0.995,0.84534,0.65847,0.3722,0.96435,0.000874842,0.000874842,0.000874842
26,445.167,0.80985,0.50641,1.03716,0.99914,1,0.995,0.79024,0.74703,0.39499,0.98239,0.000841835,0.000841835,0.000841835
27,461.889,0.74162,0.47546,1.00512,0.99858,1,0.995,0.85092,0.66127,0.36593,0.96413,0.000808828,0.000808828,0.000808828
28,478.68,0.76891,0.48652,1.01639,0.99913,1,0.995,0.81728,0.7218,0.34253,0.98228,0.000775822,0.000775822,0.000775822
29,495.536,0.77164,0.48757,1.01375,0.99898,1,0.995,0.852,0.60549,0.35744,0.9439,0.000742815,0.000742815,0.000742815
30,512.331,0.76827,0.47193,1.03419,0.99867,1,0.995,0.82223,0.71657,0.35863,0.98049,0.000709809,0.000709809,0.000709809
31,529.066,0.74251,0.45435,0.99168,0.99887,1,0.995,0.82598,0.68094,0.34829,0.95491,0.000676802,0.000676802,0.000676802
32,545.911,0.71821,0.44251,0.99582,0.99879,1,0.995,0.83312,0.6874,0.36912,0.9616,0.000643795,0.000643795,0.000643795
33,562.756,0.67153,0.44152,0.97202,0.99814,1,0.995,0.86288,0.592,0.31854,0.92878,0.000610789,0.000610789,0.000610789
34,579.733,0.71494,0.42936,1.00025,0.99896,1,0.995,0.86467,0.60081,0.33735,0.94189,0.000577782,0.000577782,0.000577782
35,597.356,0.67315,0.42505,0.98819,0.99896,1,0.995,0.86189,0.60337,0.31057,0.93836,0.000544776,0.000544776,0.000544776
36,614.677,0.6824,0.42455,0.98114,0.99871,1,0.995,0.8749,0.54765,0.30548,0.92846,0.000511769,0.000511769,0.000511769
37,631.484,0.72326,0.43958,1.00754,0.9989,1,0.995,0.86893,0.59446,0.32856,0.94032,0.000478762,0.000478762,0.000478762
38,648.306,0.69216,0.42639,0.98837,0.99883,1,0.995,0.86128,0.62352,0.33215,0.94415,0.000445756,0.000445756,0.000445756
39,665.154,0.68215,0.41341,1.00557,0.99885,1,0.995,0.86262,0.59789,0.32072,0.93368,0.000412749,0.000412749,0.000412749
40,681.893,0.67206,0.39732,0.96396,0.99913,1,0.995,0.86128,0.60893,0.31474,0.92903,0.000379743,0.000379743,0.000379743
41,698.115,0.57722,0.33693,0.95494,0.99862,1,0.995,0.8685,0.60308,0.30195,0.92248,0.000346736,0.000346736,0.000346736
42,714.16,0.56552,0.32958,0.95661,0.99892,1,0.995,0.85223,0.62545,0.30838,0.92803,0.000313729,0.000313729,0.000313729
43,730.093,0.53256,0.31402,0.93635,0.99909,1,0.995,0.87949,0.54652,0.28519,0.91864,0.000280723,0.000280723,0.000280723
44,746.789,0.52534,0.31098,0.94845,0.99911,1,0.995,0.88127,0.52455,0.27783,0.90665,0.000247716,0.000247716,0.000247716
45,762.803,0.53776,0.30708,0.95043,0.99912,1,0.995,0.89468,0.49506,0.27505,0.90117,0.00021471,0.00021471,0.00021471
