epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2769,1.84409,3.11385,1.68112,0.97547,0.3866,0.60832,0.28525,1.41706,3.76445,1.5314,0.000469005,0.000469005,0.000469005
2,95.0505,1.47419,1.8648,1.48035,0.80608,0.86978,0.92365,0.57996,1.24696,1.9577,1.47045,0.000914142,0.000914142,0.000914142
3,142.273,1.34975,1.41114,1.41575,0.92279,0.91255,0.96278,0.60512,1.24583,1.44484,1.43848,0.00132784,0.00132784,0.00132784
4,189.447,1.3013,1.16538,1.37306,0.71506,0.79121,0.7469,0.47053,1.24149,1.91607,1.43184,0.00128753,0.00128753,0.00128753
5,236.06,1.25958,1.03806,1.35108,0.92198,0.93725,0.98529,0.65574,1.16115,0.94747,1.3966,0.00124037,0.00124037,0.00124037
6,282.298,1.21473,0.98937,1.33363,0.96659,0.99201,0.99381,0.71333,1.00898,0.69824,1.24706,0.00119322,0.00119322,0.00119322
7,328.575,1.16961,0.89605,1.30598,0.99677,0.9881,0.99485,0.72292,0.9774,0.66767,1.23054,0.00114606,0.00114606,0.00114606
8,374.856,1.09895,0.81194,1.25695,0.97597,0.99011,0.99397,0.71073,0.99865,0.58902,1.25997,0.0010989,0.0010989,0.0010989
9,420.873,1.07584,0.78446,1.24621,0.98427,0.98908,0.99481,0.75037,0.89475,0.54404,1.15945,0.00105174,0.00105174,0.00105174
10,466.856,1.06474,0.7598,1.23275,0.98412,0.99847,0.99445,0.77672,0.82243,0.528,1.13109,0.00100459,0.00100459,0.00100459
11,512.727,1.04859,0.7393,1.22572,0.99123,0.9952,0.99393,0.75142,0.86887,0.50441,1.13632,0.00095743,0.00095743,0.00095743
12,558.815,0.99361,0.70156,1.17749,0.99611,0.99363,0.99498,0.77937,0.79428,0.49339,1.1018,0.000910273,0.000910273,0.000910273
13,605.274,1.00131,0.7009,1.19601,0.99624,0.99441,0.99494,0.79026,0.76884,0.44971,1.08734,0.000863116,0.000863116,0.000863116
14,651.997,0.97222,0.7012,1.17565,0.99222,0.99907,0.995,0.78235,0.81351,0.45781,1.09739,0.000815959,0.000815959,0.000815959
15,699.336,0.91793,0.64276,1.14466,0.99697,0.99681,0.99497,0.80721,0.74909,0.42092,1.06422,0.000768802,0.000768802,0.000768802
16,745.656,0.91231,0.63223,1.14149,0.9988,0.99947,0.995,0.79418,0.75125,0.41706,1.06052,0.000721645,0.000721645,0.000721645
17,791.785,0.93214,0.65037,1.15555,0.98881,1,0.99485,0.81553,0.72204,0.39731,1.06004,0.000674488,0.000674488,0.000674488
18,837.883,0.90369,0.62101,1.13191,0.99587,1,0.995,0.81882,0.69907,0.39037,1.03785,0.000627331,0.000627331,0.000627331
19,884.411,0.88558,0.60357,1.11707,0.99818,0.99847,0.995,0.81395,0.71783,0.38451,1.05215,0.000580174,0.000580174,0.000580174
20,931.021,0.86318,0.60395,1.11982,0.99709,0.99912,0.995,0.82271,0.68593,0.3846,1.0407,0.000533017,0.000533017,0.000533017
21,998.371,0.71082,0.39476,1.03564,0.99732,0.99909,0.995,0.82888,0.68372,0.36218,1.03482,0.00048586,0.00048586,0.00048586
22,1044.16,0.69569,0.37503,1.02116,0.9989,0.99847,0.995,0.82919,0.68005,0.36081,1.04374,0.000438703,0.000438703,0.000438703
23,1089.62,0.6615,0.36629,1.00015,0.99579,0.99847,0.995,0.83712,0.63789,0.34033,0.99821,0.000391546,0.000391546,0.000391546
24,1135.13,0.64697,0.35583,0.99242,0.99954,0.9989,0.995,0.84233,0.63697,0.33216,1.00104,0.000344389,0.000344389,0.000344389
25,1180.6,0.61282,0.33635,0.98185,0.99948,1,0.995,0.84483,0.61124,0.32108,0.99125,0.000297232,0.000297232,0.000297232
26,1226.73,0.59275,0.32334,0.96077,0.99898,0.99975,0.995,0.85587,0.58947,0.31458,0.97165,0.000250075,0.000250075,0.000250075
27,1273.67,0.57825,0.31682,0.95366,0.99969,0.99893,0.995,0.85349,0.60121,0.30895,0.97897,0.000202918,0.000202918,0.000202918
28,1319.97,0.55114,0.304,0.94687,0.99966,0.99903,0.995,0.86552,0.55877,0.29874,0.95294,0.000155761,0.000155761,0.000155761
29,1366.24,0.5315,0.29646,0.93127,0.99971,0.99885,0.995,0.86888,0.55176,0.28804,0.95176,0.000108604,0.000108604,0.000108604
30,1412.2,0.51936,0.29088,0.91989,0.99977,0.99876,0.995,0.87515,0.54302,0.28323,0.94522,6.1447e-05,6.1447e-05,6.1447e-05
